SampleSize,WinPercentage,AverageTurns,VarianceTurns
500,58.599999999999994,15.086,18.50361122244489
1000,55.60000000000001,15.303,18.723914914914914
2000,60.099999999999994,14.839,18.75445622811406
4000,60.675000000000004,14.85025,18.34341079019755
8000,59.162499999999994,14.92575,18.798836792099014
