SampleSize,TurnLimit,PlayerID,AverageVictoryPoints,VictoryPointsVariance,AverageMonsterKills,AverageMonsterAttempts,KillSuccessRate(%),WinPercentage(%),AverageCombat,AverageAlchemy,AverageDefence,AverageSpeciality,AvgSpecialityUse,AverageTurns,VarianceTurns
(Wolf First - Then Bear)
Wolf
1000,50,0,3.71,1.80,3.61,4.32,83.55,40.40,2.16,2.65,2.13,2.31,3.40,29.26,15.76
Bear
1000,50,1,4.21,1.33,4.14,5.00,82.79,59.60,2.14,2.58,2.00,2.23,5.00,29.26,15.76


// Human vs AI (Human Bear - Second ) 
AI WOLF
3,50,0,3.67,0.33,3.33,4.33,76.92,0.00,2.00,4.00,2.00,2.00,3.33,24.00,15.20
BEAR HUMAN
3,50,1,5.00,0.00,3.67,7.00,52.38,100.00,3.00,3.00,3.00,2.67,0.00,24.00,15.20

// (Human Bear - First )
Human Bear
3,50,0,5.00,0.00,5.00,8.33,60.00,100.00,2.00,1.67,2.33,1.67,0.00,26.00,0.80
Wolf AI
3,50,1,3.67,0.33,3.00,4.00,75.00,0.00,2.67,3.67,2.00,2.33,2.67,26.00,0.80
